SDHBp;HCCAp;DANp;9AAn;HCCAn;DANn
C00158;C00093;C00093;C00158;C00158;C00158
C00093;C05682;C05682;C01384;C01384;C01384
C05682;C03557;C03557;C00022;C00022;C00093
C03557;C04022;C04022;C02679;C00093;C05682
C04022;C00123;C00079;C00093;C05682;C03557
C00123;C00079;C00475;C05682;C03557;C00140
C00079;C00178;C00318;C03557;C00123;C00092
C00178;C00475;C00140;C00123;C00079;
C00475;C00318;C00392;C00079;C00178;
C00318;C00140;C00121;C00178;C00092;
C00140;C00392;C00031;C00140;;
C00392;C00031;C00185;C00392;;
C00121;C00185;;C00092;;
C00031;;;C00185;;
C00185;;;;;